,uid
1578,34902899
1579,34936677
1580,35003199
1581,35098752
1582,35200923
1583,35282957
1584,35422884
1585,35472681
1586,35576671
1587,35788677
1588,35876507
1589,36002627
1590,36037849
1591,36115068
1592,36186663
1593,36271352
1594,36289285
1595,36331806
1596,36393366
1597,36458743
1598,36539711
1599,36656236
1600,36728411
1601,36771998
1602,36843246
1603,36879249
1604,36915284
1605,37018049
1606,37103519
1607,37123045
1608,37235679
1609,37272658
1610,37319793
1611,37386915
1612,37482599
1613,37553480
1614,37686151
1615,37834356
1616,37894301
1617,38062492
1618,38088659
1619,38193586
1620,38233060
1621,38315299
1622,38540639
1623,38568174
1624,38651208
1625,38694657
1626,38730582
1627,38791100
1628,38821377
1629,38873174
1630,39039493
1631,39126306
1632,39189014
1633,39208169
1634,39271940
1635,39291073
1636,39376873
1637,39460656
1638,39581747
1639,39638700
1640,39640257
1641,39739919
1642,39745237
1643,39796488
1644,39818904
1645,39951625
1646,39962679
1647,40050971
1648,40128799
1649,40166077
1650,40263884
1651,40359648
1652,40528331
1653,40568924
1654,40622038
1655,40721434
1656,40764214
1657,40767478
1658,40842125
1659,40900762
1660,40908683
1661,40970387
1662,41042221
1663,41057915
1664,41120260
1665,41163553
1666,41223720
1667,41243259
1668,41421430
1669,41513463
1670,41661592
1671,41698109
1672,41763910
1673,41815105
1674,41845382
1675,41881379
1676,41955485
1677,42056418
1678,42133967
1679,42237813
1680,42292516
1681,42437846
1682,42597960
1683,42605681
1684,42619602
1685,42660369
1686,42665751
1687,42680818
1688,42808671
1689,42817552
1690,42843451
1691,43049259
1692,43070256
1693,43138413
1694,43216243
1695,43250334
1696,43317330
1697,43354509
1698,43413063
1699,43507137
1700,43582467
1701,43594256
1702,43690488
1703,43818498
1704,43861473
1705,43934106
1706,44013110
1707,44066421
1708,44192672
1709,44207610
1710,44296998
1711,44311414
1712,44330861
1713,44474184
1714,44508219
1715,44509466
1716,44521805
1717,44629629
1718,44717791
1719,44972159
1720,44994881
1721,45054693
1722,45098920
1723,45414677
1724,45599621
1725,45661324
1726,45783945
1727,45856341
1728,45972364
1729,46126577
1730,46352486
1731,46432358
1732,46570440
1733,46746347
1734,46782144
1735,46918261
1736,47249825
1737,47263765
1738,47341897
1739,47389890
1740,47613814
1741,47730857
1742,47816688
1743,47849165
1744,47886685
1745,48007334
1746,48101645
1747,48174717
1748,48336405
1749,48454335
1750,48512330
1751,48720528
1752,49041682
1753,49228909
1754,49373647
1755,49397229
1756,49471793
1757,49532213
1758,49541872
1759,49566870
1760,49578720
1761,49647475
1762,49779512
1763,49863471
1764,50029202
1765,50084731
1766,50309122
1767,50321579
1768,50370219
1769,50404445
1770,50471957
1771,50557300
1772,50596032
1773,50641904
1774,50673153
1775,50698095
1776,50732866
1777,50781684
1778,50976120
1779,50992018
1780,51050542
1781,51129169
1782,51169415
1783,51185439
1784,51260966
1785,51294688
1786,51410764
1787,51476682
1788,51531927
1789,51567545
1790,51634666
1791,51690459
1792,51758274
1793,51817286
1794,51852318
1795,51878718
1796,52012628
1797,52068374
1798,52074047
1799,52110653
1800,52231237
1801,52244889
1802,52360736
1803,52406772
1804,52462094
1805,52511462
1806,52541497
1807,52565149
1808,52590907
1809,52642904
1810,52752914
1811,52920185
1812,52956287
1813,53048737
1814,53157100
1815,53237329
1816,53265294
1817,53427504
1818,53501586
1819,53529064
1820,53605219
1821,53628267
1822,53753170
1823,53852542
1824,53878261
1825,54110049
1826,54130283
1827,54248066
1828,54268722
1829,54309941
1830,54333346
1831,54368659
1832,54414546
1833,54514697
1834,54625321
1835,54761732
1836,54818832
1837,54902111
1838,54947600
1839,54991130
1840,55225532
1841,55243251
1842,55282646
1843,55365001
1844,55460824
1845,55661068
1846,55672803
1847,55674162
1848,55680119
1849,55698660
1850,55731534
1851,55789874
1852,55911026
1853,56033818
1854,56097512
1855,56253763
1856,56345973
1857,56569952
1858,56697041
1859,56742965
1860,56775034
1861,56807173
1862,56885481
1863,57071120
1864,57143080
1865,57229769
1866,57258921
1867,57310080
1868,57365851
1869,57403610
1870,57574652
1871,57646835
1872,57723822
1873,57891054
1874,57922831
1875,58011404
1876,58094573
1877,58161838
1878,58205731
1879,58277002
1880,58391844
1881,58471516
1882,58512252
1883,58546650
1884,58665132
1885,58740843
1886,58812934
1887,58991302
1888,59155553
1889,59194473
1890,59289860
1891,59338178
1892,59383451
1893,59442492
1894,59515710
1895,59586133
1896,59711212
1897,59831065
1898,60043092
1899,60113692
1900,60213991
1901,60325775
1902,60392713
1903,60590770
1904,60616331
1905,60780114
1906,60798011
1907,60830415
1908,60869281
1909,60990991
1910,61009560
1911,61129798
1912,61249587
1913,61314629
1914,61433134
1915,61441711
1916,61587849
1917,61643818
1918,61771915
1919,61867077
1920,61914525
1921,62093463
1922,62180119
1923,62281249
1924,62363882
1925,62590704
1926,62722030
1927,62745181
1928,62773084
1929,62879784
1930,62952731
1931,63028681
1932,63095339
1933,63220042
1934,63289666
1935,63641067
1936,63733606
1937,63787672
1938,63826195
1939,64069765
1940,64095558
1941,64153355
1942,64217272
1943,64260175
1944,64329009
1945,64380244
1946,64591545
1947,64765716
1948,64987125
1949,65064830
1950,65160710
1951,65278453
1952,65362750
1953,65378319
1954,65443360
1955,65513097
1956,65654726
1957,65862792
1958,65962439
1959,66174955
1960,66250647
1961,66392734
1962,66581793
1963,66637647
1964,66850020
1965,66932127
1966,66981825
1967,67062021
1968,67142947
1969,67304894
1970,67403295
1971,67596492
1972,67618495
1973,67666862
1974,67734698
1975,67934431
1976,68016869
1977,68070475
1978,68194881
1979,68272973
1980,68340361
1981,68441369
1982,68483381
1983,68604980
1984,68665631
1985,68796356
1986,68880100
1987,68893735
1988,69159503
1989,69260288
1990,69372666
1991,69494639
1992,69763176
1993,69840497
1994,70046561
1995,70171823
1996,70224156
1997,70328345
1998,70360299
1999,70520998
2000,70580217
2001,70604289
2002,70714431
2003,70779711
2004,70817830
2005,70958234
2006,71067399
2007,71177525
2008,71257806
2009,71344912
2010,71383092
2011,71401659
2012,71432779
2013,71465615
2014,71593292
2015,71683798
2016,71716884
2017,71719886
2018,72026211
2019,72187894
2020,72344406
2021,72377237
2022,72414717
2023,72471561
2024,72766722
2025,72789280
2026,72858598
2027,73147416
2028,73380030
2029,73441385
2030,73581014
2031,73719486
2032,73776110
2033,73931646
2034,74218757
2035,74368906
2036,74396274
2037,74428086
2038,74545096
2039,74605868
2040,74765339
2041,74876015
2042,75096909
2043,75112341
2044,75165209
2045,75348519
2046,75495318
2047,75535916
2048,75563763
2049,75801088
2050,75882219
2051,76167870
2052,76242914
2053,76280112
2054,76410199
2055,76545754
2056,76615268
2057,76698720
2058,76718569
2059,76819840
2060,76918757
2061,76976831
2062,76989439
2063,77180971
2064,77199440
2065,77375607
2066,77452716
2067,77901634
2068,77973493
2069,78145940
2070,78218691
2071,78282374
2072,78378597
2073,78419767
2074,78537847
2075,78648419
2076,78835200
2077,78888694
2078,79152344
2079,79243746
2080,79452664
2081,79605736
2082,80006273
2083,80292677
2084,80425198
2085,80507775
2086,80514732
2087,80666385
2088,80853743
2089,80929393
2090,81172656
2091,81276852
2092,81305634
2093,81386729
2094,81521736
2095,81559008
2096,81688749
2097,81789529
2098,81899576
2099,82140831
2100,82253531
2101,82359496
2102,82386908
2103,82402183
2104,82676137
2105,82776529
2106,82884814
2107,82928370
2108,83222848
2109,83293828
2110,83329303
2111,83372739
2112,83595252
2113,83695651
2114,83787356
2115,83836993
2116,83938687
2117,84041346
2118,84113897
2119,84138163
2120,84239209
2121,84325349
2122,84535463
2123,84661372
2124,84746665
2125,84858252
2126,84907818
2127,84992291
2128,85080274
2129,85241900
2130,85335230
2131,85493803
2132,85518464
2133,85603051
2134,85675795
2135,85837690
2136,85951207
2137,86021600
2138,86057623
2139,86120541
2140,86241330
2141,86304513
2142,86598720
2143,86669267
2144,86728566
2145,86788765
2146,86917643
2147,87085363
2148,87232349
2149,87283471
2150,87365338
2151,87497657
2152,87647936
2153,87767566
2154,87905383
2155,87953557
2156,88199394
2157,88292429
2158,88307918
2159,88514913
2160,88625125
2161,88920819
2162,88955109
2163,89117411
